title,description,url,image,genre,rating,rating_count,content_rating,director,stars,release_year,duration_minutes,simple_genre
Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://www.imdb.com/title/tt6751668/,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_.jpg,"Drama, Thriller",8.5,1090906,R,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",2019-11-08,132,"Drama, Thriller"
Mulholland Drive,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",https://www.imdb.com/title/tt0166924/,https://m.media-amazon.com/images/M/MV5BNjliY2UwMjQtYjVlNi00NzExLTg1MDMtMjE2OTYwYjI0NTcxXkEyXkFqcGc@._V1_.jpg,"Drama, Mystery, Thriller",7.9,412790,R,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux",2001-10-19,147,"Drama, Thriller"
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",https://www.imdb.com/title/tt0469494/,https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_.jpg,Drama,8.2,679787,R,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",2008-01-25,158,Drama
In the Mood for Love,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",https://www.imdb.com/title/tt0118694/,https://m.media-amazon.com/images/M/MV5BN2Q4NjllMDgtOTk2Zi00YzM1LWJmOTMtNmRiZDgyZGJmMjQzXkEyXkFqcGc@._V1_.jpg,"Drama, Romance",8.1,180583,PG,Wong Kar-Wai,"Maggie Cheung, Tony Leung Chiu-wai, Ping-Lam Siu",2001-03-09,98,"Drama, Romance"
Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",https://www.imdb.com/title/tt4975722/,https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_.jpg,Drama,7.4,344639,R,Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes",2016-11-18,111,Drama
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,https://www.imdb.com/title/tt0477348/,https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_.jpg,"Crime, Drama, Thriller",8.2,1141082,R,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin",2007-11-21,122,"Crime, Drama, Thriller"
Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",https://www.imdb.com/title/tt0338013/,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg,"Drama, Romance, Sci-Fi",8.3,1149103,R,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson",2004-03-19,108,"Drama, Romance, Sci-Fi"
Get Out,"A young African-American visits his white girlfriend&apos;s parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",https://www.imdb.com/title/tt5052448/,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_.jpg,"Horror, Mystery, Thriller",7.8,773244,R,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford",2017-02-24,104,"Horror, Thriller"
Spirited Away,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://www.imdb.com/title/tt0245429/,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg,"Animation, Adventure, Family",8.6,925926,PG,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",2003-03-28,124,"Adventure, Animation, Family"
The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",https://www.imdb.com/title/tt1285016/,https://m.media-amazon.com/images/M/MV5BMjlkNTE5ZTUtNGEwNy00MGVhLThmZjMtZjU1NDE5Zjk1NDZkXkEyXkFqcGc@._V1_.jpg,"Biography, Drama",7.8,798438,PG-13,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake",2010-10-01,120,"Biography, Drama"
